id,factory_no,machine_no,serial_no,part_no,timestamp,status
2061,80548,18259,1622842CL4R0156661577860220,a42CL3R,2002-01-09T20:00:00.000Z,beta_engine
2062,45820,3282,5041642CL5R0156661577860220,a42CL6R,2001-07-30T11:46:00.000Z,beta_engine
2063,174331,4071,1399342CL1R0156661577860220,a42CL1R,2002-08-31T21:09:00.000Z,beta_engine
2064,234331,3250,1194342CL1R0156661577860220,a42CL5R,2001-09-11T23:47:00.000Z,beta_engine
2065,25818,3064,4548042CL6R0156661577860220,a42CL1R,2001-12-18T05:14:00.000Z,beta_engine
2066,266486,34894,2436442CL4R0156661577860220,a42CL7R,2002-12-03T10:02:00.000Z,beta_engine
2067,188184,28218,313242CL2R0156661577860220,a42CL6R,2001-02-05T11:14:00.000Z,beta_engine
2068,169521,7600,5014642CL8R0156661577860220,a42CL6R,2002-04-04T22:26:00.000Z,beta_engine
2069,183059,34975,2313842CL9R0156661577860220,a42CL8R,2002-02-03T16:52:00.000Z,beta_engine
2070,139882,11868,3960142CL5R0156661577860220,a42CL3R,2002-05-31T16:26:00.000Z,beta_engine
2071,227487,5156,4096942CL7R0156661577860220,a42CL5R,2002-02-04T19:30:00.000Z,beta_engine
2072,458794,4863,1136442CL3R0156661577860220,a42CL3R,2001-08-20T16:05:00.000Z,beta_engine
2073,177148,5233,1747842CL3R0156661577860220,a42CL1R,2001-02-18T15:29:00.000Z,beta_engine
2074,48291,9638,482142CL3R0156661577860220,a42CL6R,2000-08-12T21:31:00.000Z,beta_engine
2075,141996,3820,4349842CL5R0156661577860220,a42CL7R,2001-11-09T21:08:00.000Z,beta_engine
2076,35574,21223,473542CL1R0156661577860220,a42CL9R,2001-07-04T12:00:00.000Z,beta_engine
2077,267076,10111,1158842CL6R0156661577860220,a42CL5R,2002-03-30T19:23:00.000Z,beta_engine
2078,88140,13552,2376742CL9R0156661577860220,a42CL7R,2002-05-09T07:23:00.000Z,beta_engine
2079,154158,22869,4932642CL2R0156661577860220,a42CL4R,2001-11-10T23:49:00.000Z,beta_engine
2080,712076,5301,2229542CL3R0156661577860220,a42CL2R,2001-11-28T03:54:00.000Z,beta_engine
2081,124189,29860,5819042CL6R0156661577860220,a42CL2R,2002-03-27T13:42:00.000Z,beta_engine
2082,131938,3634,538742CL7R0156661577860220,a42CL8R,2002-06-17T18:55:00.000Z,beta_engine
2083,104939,9353,4467442CL7R0156661577860220,a42CL3R,2002-01-10T22:19:00.000Z,beta_engine
2084,170567,12795,4446142CL6R0156661577860220,a42CL2R,2001-08-21T11:05:00.000Z,beta_engine
2085,74329,20771,4364642CL5R0156661577860220,a42CL3R,2002-02-01T09:07:00.000Z,beta_engine
2086,105205,14105,842242CL4R0156661577860220,a42CL9R,2002-03-18T11:59:00.000Z,beta_engine
2087,278001,26419,3207242CL7R0156661577860220,a42CL2R,2002-07-04T06:55:00.000Z,beta_engine
2088,232274,12147,1887542CL4R0156661577860220,a42CL7R,2001-07-24T11:36:00.000Z,beta_engine
2089,102526,1737,851742CL2R0156661577860220,a42CL6R,2002-07-02T08:08:00.000Z,beta_engine
2090,189205,6853,6357342CL9R0156661577860220,a42CL8R,2001-12-07T06:38:00.000Z,beta_engine
2091,105056,9681,4496142CL1R0156661577860220,a42CL3R,2001-08-18T05:31:00.000Z,beta_engine
2092,97913,25793,5735042CL1R0156661577860220,a42CL6R,2001-01-06T02:27:00.000Z,beta_engine
2093,34669,10857,2829942CL1R0156661577860220,a42CL8R,2002-04-24T00:48:00.000Z,beta_engine
2094,170249,41255,4607242CL2R0156661577860220,a42CL8R,2001-10-18T01:56:00.000Z,beta_engine
2095,220469,6291,6465642CL1R0156661577860220,a42CL9R,2002-02-16T14:04:00.000Z,beta_engine
2096,241627,9210,4565442CL3R0156661577860220,a42CL2R,2001-02-10T06:38:00.000Z,beta_engine
2097,203367,18449,1188842CL2R0156661577860220,a42CL2R,2002-08-05T23:50:00.000Z,beta_engine
2098,118657,37435,4641042CL6R0156661577860220,a42CL9R,2002-03-02T12:03:00.000Z,beta_engine
2099,85427,2419,4368542CL6R0156661577860220,a42CL7R,2002-08-28T01:49:00.000Z,beta_engine
2100,142301,14695,960042CL4R0156661577860220,a42CL2R,2003-03-19T11:46:00.000Z,beta_engine
2101,143859,32594,4710842CL8R0156661577860220,a42CL1R,2001-05-27T04:31:00.000Z,beta_engine
2102,107111,11799,6093142CL2R0156661577860220,a42CL2R,2002-04-10T23:14:00.000Z,beta_engine
2103,125339,4767,2047942CL7R0156661577860220,a42CL1R,2001-11-06T08:29:00.000Z,beta_engine
2104,121678,28584,6489042CL7R0156661577860220,a42CL1R,2002-09-10T01:34:00.000Z,beta_engine
2105,224389,16215,4968842CL2R0156661577860220,a42CL6R,2001-09-06T19:51:00.000Z,beta_engine
2106,101212,24816,2558742CL8R0156661577860220,a42CL9R,2001-07-09T17:23:00.000Z,beta_engine
2107,44714,14093,74942CL5R0156661577860220,a42CL3R,2001-07-13T14:57:00.000Z,beta_engine
2108,87216,21354,2376442CL7R0156661577860220,a42CL5R,2002-02-23T00:19:00.000Z,beta_engine
2109,195770,25086,6326542CL3R0156661577860220,a42CL2R,2001-07-06T23:36:00.000Z,beta_engine
2110,199738,28011,4922142CL5R0156661577860220,a42CL1R,2001-05-05T06:29:00.000Z,beta_engine
2111,150819,19627,1128242CL2R0156661577860220,a42CL6R,2002-04-02T08:46:00.000Z,beta_engine
2112,78412,7282,4062742CL4R0156661577860220,a42CL2R,2002-02-08T09:49:00.000Z,beta_engine
2113,227598,7193,2628542CL6R0156661577860220,a42CL4R,2001-06-21T12:04:00.000Z,beta_engine
2114,344226,42116,3209542CL5R0156661577860220,a42CL4R,2001-05-29T00:55:00.000Z,beta_engine
2115,52128,37086,5089142CL4R0156661577860220,a42CL3R,2000-08-29T04:48:00.000Z,beta_engine
2116,203536,11602,3620642CL8R0156661577860220,a42CL6R,2001-12-12T04:46:00.000Z,beta_engine
2117,108984,14676,5283642CL7R0156661577860220,a42CL7R,2002-02-23T06:47:00.000Z,beta_engine
2118,323003,30414,550442CL7R0156661577860220,a42CL7R,2001-10-06T01:47:00.000Z,beta_engine
2119,180051,9264,2123242CL7R0156661577860220,a42CL9R,2002-12-08T01:57:00.000Z,beta_engine
2120,154763,11742,5544542CL4R0156661577860220,a42CL6R,2002-06-26T11:33:00.000Z,beta_engine
2121,97185,4817,4587042CL4R0156661577860220,a42CL4R,2001-08-18T19:34:00.000Z,beta_engine
2122,65183,16138,2062742CL6R0156661577860220,a42CL8R,2002-06-07T13:26:00.000Z,beta_engine
2123,86091,56013,218142CL6R0156661577860220,a42CL2R,2001-02-20T17:41:00.000Z,beta_engine
2124,124660,46091,1740042CL7R0156661577860220,a42CL7R,2001-10-10T04:01:00.000Z,beta_engine
2125,106423,25144,552242CL4R0156661577860220,a42CL3R,2001-11-18T12:49:00.000Z,beta_engine
2126,305014,7296,674442CL1R0156661577860220,a42CL4R,2002-06-20T08:25:00.000Z,beta_engine
2127,31813,12644,5571342CL3R0156661577860220,a42CL6R,2001-11-10T10:29:00.000Z,beta_engine
2128,144522,31468,882342CL6R0156661577860220,a42CL7R,2002-01-14T23:51:00.000Z,beta_engine
2129,74200,11063,5137242CL1R0156661577860220,a42CL5R,2002-02-15T21:32:00.000Z,beta_engine
2130,116609,25600,5029842CL3R0156661577860220,a42CL8R,2001-10-29T18:07:00.000Z,beta_engine
2131,218495,16244,1122742CL8R0156661577860220,a42CL1R,2002-02-13T19:49:00.000Z,beta_engine
2132,187997,4569,3739242CL4R0156661577860220,a42CL6R,2002-04-03T00:31:00.000Z,beta_engine
2133,136646,7994,5670142CL7R0156661577860220,a42CL7R,2001-11-27T03:39:00.000Z,beta_engine
2134,69647,20787,4805042CL7R0156661577860220,a42CL5R,2002-02-15T21:50:00.000Z,beta_engine
2135,95514,15698,6113442CL1R0156661577860220,a42CL9R,2001-10-29T09:44:00.000Z,beta_engine
2136,99528,11263,4832342CL7R0156661577860220,a42CL9R,2002-03-26T19:17:00.000Z,beta_engine
2137,258904,36893,453842CL6R0156661577860220,a42CL2R,2002-03-21T06:55:00.000Z,beta_engine
2138,153501,7796,6051542CL6R0156661577860220,a42CL2R,2001-09-09T08:17:00.000Z,beta_engine
2139,109834,17933,3533242CL6R0156661577860220,a42CL2R,2002-08-13T07:00:00.000Z,beta_engine
2140,212790,11210,6280542CL4R0156661577860220,a42CL9R,2001-11-12T05:55:00.000Z,beta_engine
2141,187703,3738,1195842CL9R0156661577860220,a42CL8R,2001-03-10T03:00:00.000Z,beta_engine
2142,144366,4464,5711342CL7R0156661577860220,a42CL6R,2002-01-13T15:34:00.000Z,beta_engine
2143,186627,2097,6394142CL4R0156661577860220,a42CL2R,2001-04-02T16:05:00.000Z,beta_engine
2144,108154,6316,3809142CL4R0156661577860220,a42CL7R,2001-11-22T09:14:00.000Z,beta_engine
2145,48492,21629,524142CL8R0156661577860220,a42CL6R,2001-07-02T04:25:00.000Z,beta_engine
2146,199979,5627,845842CL8R0156661577860220,a42CL9R,2002-06-11T11:30:00.000Z,beta_engine
2147,170763,30267,1739742CL9R0156661577860220,a42CL9R,2001-03-12T14:33:00.000Z,beta_engine
2148,258578,4150,1338642CL1R0156661577860220,a42CL1R,2001-02-19T17:05:00.000Z,beta_engine
2149,34869,1005,4414142CL7R0156661577860220,a42CL7R,2002-08-11T06:39:00.000Z,beta_engine
2150,49579,18459,5841042CL5R0156661577860220,a42CL3R,2002-12-27T15:28:00.000Z,beta_engine
2151,48732,8881,1251342CL2R0156661577860220,a42CL5R,2001-12-31T04:40:00.000Z,beta_engine
2152,291063,5464,4068042CL9R0156661577860220,a42CL1R,2001-05-24T06:38:00.000Z,beta_engine
2153,188566,36958,4552242CL4R0156661577860220,a42CL8R,2002-03-04T03:15:00.000Z,beta_engine
2154,127118,28862,5245742CL2R0156661577860220,a42CL8R,2002-03-31T02:13:00.000Z,beta_engine
2155,49691,13074,495242CL2R0156661577860220,a42CL9R,2002-09-18T17:16:00.000Z,beta_engine
2156,50626,15705,1150542CL1R0156661577860220,a42CL1R,2002-02-03T03:53:00.000Z,beta_engine
2157,172551,22390,602342CL3R0156661577860220,a42CL3R,2002-08-17T06:21:00.000Z,beta_engine
2158,74599,45357,6074142CL2R0156661577860220,a42CL7R,2002-12-23T22:45:00.000Z,beta_engine
2159,206759,14874,5077842CL6R0156661577860220,a42CL6R,2001-10-21T23:28:00.000Z,beta_engine
2160,70253,24643,235342CL5R0156661577860220,a42CL2R,2001-09-21T13:43:00.000Z,beta_engine
2161,233660,6617,1862742CL8R0156661577860220,a42CL9R,2001-07-04T03:29:00.000Z,beta_engine
2162,163559,11950,2672042CL9R0156661577860220,a42CL2R,2001-01-27T23:09:00.000Z,beta_engine
2163,44007,8870,3001742CL1R0156661577860220,a42CL9R,2002-10-17T18:28:00.000Z,beta_engine
2164,65501,9130,3407642CL3R0156661577860220,a42CL7R,2001-05-22T19:56:00.000Z,beta_engine
2165,254261,7667,6534642CL2R0156661577860220,a42CL3R,2002-03-09T23:21:00.000Z,beta_engine
2166,525175,59385,209742CL6R0156661577860220,a42CL2R,2001-08-19T01:46:00.000Z,beta_engine
2167,446979,30900,2400642CL7R0156661577860220,a42CL5R,2002-04-07T04:13:00.000Z,beta_engine
2168,152107,11098,5999542CL7R0156661577860220,a42CL5R,2001-06-16T06:45:00.000Z,beta_engine
2169,460071,14518,3462542CL6R0156661577860220,a42CL8R,2002-06-27T08:23:00.000Z,beta_engine
2170,68676,22549,4991942CL3R0156661577860220,a42CL9R,2001-10-30T03:58:00.000Z,beta_engine
2171,265108,2550,2951242CL6R0156661577860220,a42CL9R,2002-01-25T02:50:00.000Z,beta_engine
2172,78212,14927,6228242CL1R0156661577860220,a42CL1R,2002-01-06T11:20:00.000Z,beta_engine
2173,99834,33760,158642CL2R0156661577860220,a42CL3R,2002-08-12T00:01:00.000Z,beta_engine
2174,36939,3161,4174042CL7R0156661577860220,a42CL6R,2002-04-19T06:18:00.000Z,beta_engine
2175,206921,7869,6118642CL5R0156661577860220,a42CL7R,2001-06-27T22:37:00.000Z,beta_engine
2176,156258,42180,5325342CL9R0156661577860220,a42CL7R,2001-11-16T13:47:00.000Z,beta_engine
2177,38240,20601,1354242CL4R0156661577860220,a42CL6R,2002-05-18T08:34:00.000Z,beta_engine
2178,56059,25521,1743842CL9R0156661577860220,a42CL4R,2001-09-28T02:36:00.000Z,beta_engine
2179,247642,33490,5885042CL9R0156661577860220,a42CL8R,2003-09-21T21:13:00.000Z,beta_engine
2180,32512,10364,5894542CL5R0156661577860220,a42CL7R,2001-03-05T19:52:00.000Z,beta_engine
2181,55204,24879,240242CL5R0156661577860220,a42CL2R,2001-12-05T04:57:00.000Z,beta_engine
2182,98612,20893,5621342CL8R0156661577860220,a42CL3R,2002-07-24T02:42:00.000Z,beta_engine
2183,184809,8553,3288642CL8R0156661577860220,a42CL2R,2002-06-06T23:05:00.000Z,beta_engine
2184,244955,12821,702342CL4R0156661577860220,a42CL7R,2002-05-20T14:08:00.000Z,beta_engine
2185,119656,2424,2965542CL6R0156661577860220,a42CL7R,2001-07-21T15:18:00.000Z,beta_engine
2186,166464,5835,5150742CL5R0156661577860220,a42CL7R,2002-05-29T15:19:00.000Z,beta_engine
2187,405489,8572,5301442CL4R0156661577860220,a42CL1R,2001-05-13T05:12:00.000Z,beta_engine
2188,37761,11042,1160342CL3R0156661577860220,a42CL9R,2002-05-12T03:49:00.000Z,beta_engine
2189,179344,20794,5892442CL2R0156661577860220,a42CL6R,2002-03-25T18:14:00.000Z,beta_engine
2190,31619,38503,2740542CL4R0156661577860220,a42CL7R,2001-04-02T11:21:00.000Z,beta_engine
2191,200864,11356,5410342CL6R0156661577860220,a42CL7R,2002-05-16T15:03:00.000Z,beta_engine
2192,114250,3338,3458742CL4R0156661577860220,a42CL4R,2002-02-06T02:14:00.000Z,beta_engine
2193,176386,3006,5606042CL1R0156661577860220,a42CL3R,2001-12-16T01:13:00.000Z,beta_engine
2194,63377,35025,290142CL8R0156661577860220,a42CL7R,2002-02-20T14:38:00.000Z,beta_engine
2195,116363,11307,5273142CL4R0156661577860220,a42CL5R,2002-05-22T15:35:00.000Z,beta_engine
2196,284885,4641,3643442CL5R0156661577860220,a42CL5R,2002-01-09T20:08:00.000Z,beta_engine
2197,132707,10986,275842CL2R0156661577860220,a42CL2R,2001-11-09T01:08:00.000Z,beta_engine
2198,161857,17457,2282042CL4R0156661577860220,a42CL6R,2002-02-11T19:00:00.000Z,beta_engine
2199,38925,4761,3170042CL6R0156661577860220,a42CL3R,2001-09-06T16:40:00.000Z,beta_engine
2200,47016,32156,3829642CL4R0156661577860220,a42CL8R,2001-05-15T20:39:00.000Z,beta_engine
2201,121312,34597,563042CL2R0156661577860220,a42CL1R,2002-03-04T11:14:00.000Z,beta_engine
2202,103202,27498,1786642CL6R0156661577860220,a42CL6R,2001-08-24T04:35:00.000Z,beta_engine
2203,99717,11311,4969342CL7R0156661577860220,a42CL6R,2001-06-29T10:50:00.000Z,beta_engine
2204,218097,27808,4101342CL9R0156661577860220,a42CL5R,2002-05-18T05:20:00.000Z,beta_engine
2205,234013,22327,4370642CL8R0156661577860220,a42CL6R,2001-12-17T06:54:00.000Z,beta_engine
2206,64160,1830,5949742CL2R0156661577860220,a42CL2R,2001-09-01T03:29:00.000Z,beta_engine
2207,149503,24993,3251642CL4R0156661577860220,a42CL3R,2002-01-04T11:17:00.000Z,beta_engine
2208,59056,16764,3692242CL1R0156661577860220,a42CL1R,2002-01-18T07:22:00.000Z,beta_engine
2209,110595,24867,391142CL8R0156661577860220,a42CL3R,2001-05-31T06:13:00.000Z,beta_engine
2210,113754,12903,6176942CL8R0156661577860220,a42CL7R,2002-06-26T12:28:00.000Z,beta_engine
2211,112895,9305,2562342CL5R0156661577860220,a42CL5R,2001-03-04T15:16:00.000Z,beta_engine
2212,70047,22135,4714442CL2R0156661577860220,a42CL1R,2001-07-30T22:06:00.000Z,beta_engine
2213,32493,16013,397342CL1R0156661577860220,a42CL8R,2001-08-27T19:29:00.000Z,beta_engine
2214,154244,9724,4346042CL5R0156661577860220,a42CL8R,2001-09-21T11:26:00.000Z,beta_engine
2215,226506,12253,2813642CL5R0156661577860220,a42CL8R,2002-06-04T16:19:00.000Z,beta_engine
2216,186006,2490,5825942CL7R0156661577860220,a42CL6R,2002-06-22T11:50:00.000Z,beta_engine
2217,85796,33382,5247042CL5R0156661577860220,a42CL6R,2001-11-23T14:45:00.000Z,beta_engine
2218,116391,99999,80242CL4R0156661577860220,a42CL2R,2001-11-15T03:24:00.000Z,beta_engine
2219,112540,7893,4355242CL8R0156661577860220,a42CL2R,2001-11-16T03:11:00.000Z,beta_engine
2220,177459,10017,2577542CL2R0156661577860220,a42CL7R,2002-07-07T22:46:00.000Z,beta_engine
2221,49824,63324,6455842CL7R0156661577860220,a42CL2R,2002-02-06T10:13:00.000Z,beta_engine
2222,209193,13430,932042CL9R0156661577860220,a42CL1R,2001-09-04T11:36:00.000Z,beta_engine
2223,299369,15391,6393042CL9R0156661577860220,a42CL4R,2000-12-15T10:17:00.000Z,beta_engine
2224,155662,31039,2868042CL3R0156661577860220,a42CL5R,2002-02-09T20:29:00.000Z,beta_engine
2225,106723,13131,2406642CL2R0156661577860220,a42CL2R,2002-04-19T08:57:00.000Z,beta_engine
2226,58752,7836,5531942CL5R0156661577860220,a42CL5R,2002-06-12T14:16:00.000Z,beta_engine
2227,78085,10651,3350842CL2R0156661577860220,a42CL9R,2001-11-03T16:33:00.000Z,beta_engine
2228,147750,9016,821742CL1R0156661577860220,a42CL3R,2001-10-23T23:52:00.000Z,beta_engine
2229,151213,9165,3764442CL7R0156661577860220,a42CL7R,2002-02-12T17:39:00.000Z,beta_engine
2230,78444,225,583642CL8R0156661577860220,a42CL2R,2001-11-13T17:04:00.000Z,beta_engine
2231,339459,20462,1905442CL2R0156661577860220,a42CL2R,2002-01-14T14:19:00.000Z,beta_engine
2232,443810,21924,171342CL3R0156661577860220,a42CL1R,2002-10-15T22:23:00.000Z,beta_engine
2233,176931,12150,4355142CL2R0156661577860220,a42CL9R,2001-04-16T19:45:00.000Z,beta_engine
2234,128797,16376,5895942CL5R0156661577860220,a42CL1R,2002-02-23T00:31:00.000Z,beta_engine
2235,218985,14680,5859842CL7R0156661577860220,a42CL9R,2001-07-16T23:47:00.000Z,beta_engine
2236,330858,7416,3160242CL8R0156661577860220,a42CL2R,2002-02-15T09:27:00.000Z,beta_engine
2237,43548,7260,5347242CL5R0156661577860220,a42CL9R,2001-07-05T15:06:00.000Z,beta_engine
2238,70388,48311,5389142CL3R0156661577860220,a42CL1R,2001-04-03T04:17:00.000Z,beta_engine
2239,83796,5970,131542CL5R0156661577860220,a42CL8R,2001-02-18T17:20:00.000Z,beta_engine
2240,114426,13865,6397242CL3R0156661577860220,a42CL1R,2001-01-25T19:44:00.000Z,beta_engine
2241,20743,30097,4070542CL4R0156661577860220,a42CL6R,2001-03-12T01:13:00.000Z,beta_engine
2242,25249,1948,1716542CL5R0156661577860220,a42CL4R,2001-07-27T08:43:00.000Z,beta_engine
2243,127826,2746,430342CL4R0156661577860220,a42CL6R,2002-05-03T20:18:00.000Z,beta_engine
2244,182497,20757,2224742CL5R0156661577860220,a42CL6R,2002-07-28T10:46:00.000Z,beta_engine
2245,49669,3663,5746942CL3R0156661577860220,a42CL1R,2001-02-27T07:07:00.000Z,beta_engine
2246,76211,22214,599442CL1R0156661577860220,a42CL9R,2001-08-13T11:12:00.000Z,beta_engine
2247,313006,34691,4195542CL2R0156661577860220,a42CL8R,2001-08-19T02:10:00.000Z,beta_engine
2248,58100,13380,574742CL6R0156661577860220,a42CL4R,2002-04-23T08:14:00.000Z,beta_engine
2249,86620,4150,385542CL4R0156661577860220,a42CL7R,2002-12-22T00:53:00.000Z,beta_engine
2250,133795,11624,3359542CL9R0156661577860220,a42CL9R,2001-12-27T16:42:00.000Z,beta_engine
2251,115875,7385,112742CL4R0156661577860220,a42CL8R,2002-02-04T11:37:00.000Z,beta_engine
2252,99124,8997,142642CL1R0156661577860220,a42CL6R,2001-10-16T00:51:00.000Z,beta_engine
2253,40660,27763,4312142CL4R0156661577860220,a42CL2R,2002-02-15T17:32:00.000Z,beta_engine
2254,265004,9354,4643442CL5R0156661577860220,a42CL3R,2001-01-17T08:15:00.000Z,beta_engine
2255,141611,28538,2409742CL2R0156661577860220,a42CL4R,2001-04-13T08:52:00.000Z,beta_engine
2256,102174,5977,209742CL8R0156661577860220,a42CL4R,2002-04-07T22:59:00.000Z,beta_engine
2257,37266,9539,4770142CL6R0156661577860220,a42CL6R,2001-10-13T13:12:00.000Z,beta_engine
2258,111278,14648,4521742CL3R0156661577860220,a42CL8R,2002-08-31T08:48:00.000Z,beta_engine
2259,181461,4610,1416942CL5R0156661577860220,a42CL7R,2001-12-20T18:04:00.000Z,beta_engine
2260,206364,33994,1657842CL1R0156661577860220,a42CL1R,2002-03-20T10:59:00.000Z,beta_engine
2261,102938,31189,2462242CL2R0156661577860220,a42CL7R,2002-05-15T16:02:00.000Z,beta_engine
2262,579984,5283,2919342CL1R0156661577860220,a42CL2R,2002-11-22T15:57:00.000Z,beta_engine
2263,103779,23914,5703342CL1R0156661577860220,a42CL4R,2001-05-17T17:42:00.000Z,beta_engine
