id,factory_no,machine_no,serial_no,part_no,status,timestamp
2025,424751,4677,5365642CL4R0156661577860220,a42CL9R,beta_engine,1003389360
2026,67786,3740,955242CL7R0156661577860220,a42CL3R,beta_engine,1007806500
2027,195901,18507,1952742CL4R0156661577860220,a42CL1R,beta_engine,1029397560
2028,98562,9668,1285242CL9R0156661577860220,a42CL3R,beta_engine,993599340
2029,41173,31201,1081242CL2R0156661577860220,a42CL2R,beta_engine,999043620
2030,122753,9156,3592742CL5R0156661577860220,a42CL7R,beta_engine,985809360
2031,10953,34513,4572542CL5R0156661577860220,a42CL8R,beta_engine,988393860
2032,205341,35831,4766442CL6R0156661577860220,a42CL2R,beta_engine,1028623500
2033,35641,21389,4433742CL5R0156661577860220,a42CL9R,beta_engine,988783860
2034,204564,16069,497042CL2R0156661577860220,a42CL5R,beta_engine,1002438480
2035,124715,8578,2510342CL2R0156661577860220,a42CL1R,beta_engine,1034833500
2036,116518,22080,587042CL6R0156661577860220,a42CL3R,beta_engine,1000993980
2037,45240,7095,3611342CL6R0156661577860220,a42CL3R,beta_engine,1002704760
2038,315770,32649,1460642CL2R0156661577860220,a42CL1R,beta_engine,1004066940
2039,54810,10501,856242CL8R0156661577860220,a42CL5R,beta_engine,1027123200
2040,118182,30751,1663642CL4R0156661577860220,a42CL2R,beta_engine,1025684580
2041,46666,4375,3129442CL6R0156661577860220,a42CL6R,beta_engine,992539380
2042,33577,33925,6346642CL1R0156661577860220,a42CL2R,beta_engine,1001727540
2043,272400,8792,3425842CL3R0156661577860220,a42CL3R,beta_engine,1002434580
2044,109801,53621,4846742CL3R0156661577860220,a42CL2R,beta_engine,1003954380
2045,105799,8309,4526742CL4R0156661577860220,a42CL5R,beta_engine,1019745120
2046,38863,19172,918342CL8R0156661577860220,a42CL3R,beta_engine,985830780
2047,113971,33872,6435342CL9R0156661577860220,a42CL1R,beta_engine,1005743280
2048,89178,13730,172042CL3R0156661577860220,a42CL5R,beta_engine,1015762140
2049,329795,14794,3476542CL7R0156661577860220,a42CL2R,beta_engine,1032336900
2050,170830,42484,5174242CL7R0156661577860220,a42CL1R,beta_engine,1022158260
2051,78665,19423,1703542CL4R0156661577860220,a42CL5R,beta_engine,995306460
2052,164469,5223,116142CL4R0156661577860220,a42CL6R,beta_engine,993201540
2053,70794,12887,2461342CL8R0156661577860220,a42CL9R,beta_engine,1005797700
2054,109683,17425,1853142CL3R0156661577860220,a42CL7R,beta_engine,1013900580
2055,89747,6760,6108442CL5R0156661577860220,a42CL7R,beta_engine,1022390760
2056,354149,5978,2472742CL1R0156661577860220,a42CL7R,beta_engine,1000506600
2057,264474,14277,5787942CL1R0156661577860220,a42CL4R,beta_engine,1005548280
2058,123071,10105,2178742CL5R0156661577860220,a42CL7R,beta_engine,986845020
2059,130771,19970,5731542CL1R0156661577860220,a42CL4R,beta_engine,985468560
2060,491143,10362,2706042CL5R0156661577860220,a42CL5R,beta_engine,1023899280
2061,80548,18259,1622842CL4R0156661577860220,a42CL3R,beta_engine,1010606400
2062,45820,3282,5041642CL5R0156661577860220,a42CL6R,beta_engine,996493560
2063,174331,4071,1399342CL1R0156661577860220,a42CL1R,beta_engine,1030828140
2064,234331,3250,1194342CL1R0156661577860220,a42CL5R,beta_engine,1000252020
2065,25818,3064,4548042CL6R0156661577860220,a42CL1R,beta_engine,1008652440
2066,266486,34894,2436442CL4R0156661577860220,a42CL7R,beta_engine,1038909720
2067,188184,28218,313242CL2R0156661577860220,a42CL6R,beta_engine,981371640
2068,169521,7600,5014642CL8R0156661577860220,a42CL6R,beta_engine,1017959160
2069,183059,34975,2313842CL9R0156661577860220,a42CL8R,beta_engine,1012755120
2070,139882,11868,3960142CL5R0156661577860220,a42CL3R,beta_engine,1022862360
2071,227487,5156,4096942CL7R0156661577860220,a42CL5R,beta_engine,1012851000
2072,458794,4863,1136442CL3R0156661577860220,a42CL3R,beta_engine,998323500
2073,177148,5233,1747842CL3R0156661577860220,a42CL1R,beta_engine,982510140
2074,48291,9638,482142CL3R0156661577860220,a42CL6R,beta_engine,966115860
2075,141996,3820,4349842CL5R0156661577860220,a42CL7R,beta_engine,1005340080
2076,35574,21223,473542CL1R0156661577860220,a42CL9R,beta_engine,994248000
2077,267076,10111,1158842CL6R0156661577860220,a42CL5R,beta_engine,1017516180
2078,88140,13552,2376742CL9R0156661577860220,a42CL7R,beta_engine,1020928980
2079,154158,22869,4932642CL2R0156661577860220,a42CL4R,beta_engine,1005436140
2080,712076,5301,2229542CL3R0156661577860220,a42CL2R,beta_engine,1006919640
2081,124189,29860,5819042CL6R0156661577860220,a42CL2R,beta_engine,1017236520
2082,131938,3634,538742CL7R0156661577860220,a42CL8R,beta_engine,1024340100
2083,104939,9353,4467442CL7R0156661577860220,a42CL3R,beta_engine,1010701140
2084,170567,12795,4446142CL6R0156661577860220,a42CL2R,beta_engine,998391900
2085,74329,20771,4364642CL5R0156661577860220,a42CL3R,beta_engine,1012554420
2086,105205,14105,842242CL4R0156661577860220,a42CL9R,beta_engine,1016452740
2087,278001,26419,3207242CL7R0156661577860220,a42CL2R,beta_engine,1025765700
2088,232274,12147,1887542CL4R0156661577860220,a42CL7R,beta_engine,995974560
2089,102526,1737,851742CL2R0156661577860220,a42CL6R,beta_engine,1025597280
2090,189205,6853,6357342CL9R0156661577860220,a42CL8R,beta_engine,1007707080
2091,105056,9681,4496142CL1R0156661577860220,a42CL3R,beta_engine,998112660
2092,97913,25793,5735042CL1R0156661577860220,a42CL6R,beta_engine,978748020
2093,34669,10857,2829942CL1R0156661577860220,a42CL8R,beta_engine,1019609280
2094,170249,41255,4607242CL2R0156661577860220,a42CL8R,beta_engine,1003370160
2095,220469,6291,6465642CL1R0156661577860220,a42CL9R,beta_engine,1013868240
2096,241627,9210,4565442CL3R0156661577860220,a42CL2R,beta_engine,981787080
2097,203367,18449,1188842CL2R0156661577860220,a42CL2R,beta_engine,1028591400
2098,118657,37435,4641042CL6R0156661577860220,a42CL9R,beta_engine,1015070580
2099,85427,2419,4368542CL6R0156661577860220,a42CL7R,beta_engine,1030499340
2100,142301,14695,960042CL4R0156661577860220,a42CL2R,beta_engine,1048074360
2101,143859,32594,4710842CL8R0156661577860220,a42CL1R,beta_engine,990937860
2102,107111,11799,6093142CL2R0156661577860220,a42CL2R,beta_engine,1018480440
2103,125339,4767,2047942CL7R0156661577860220,a42CL1R,beta_engine,1005035340
2104,121678,28584,6489042CL7R0156661577860220,a42CL1R,beta_engine,1031621640
2105,224389,16215,4968842CL2R0156661577860220,a42CL6R,beta_engine,999805860
2106,101212,24816,2558742CL8R0156661577860220,a42CL9R,beta_engine,994699380
2107,44714,14093,74942CL5R0156661577860220,a42CL3R,beta_engine,995036220
2108,87216,21354,2376442CL7R0156661577860220,a42CL5R,beta_engine,1014423540
2109,195770,25086,6326542CL3R0156661577860220,a42CL2R,beta_engine,994462560
2110,199738,28011,4922142CL5R0156661577860220,a42CL1R,beta_engine,989044140
2111,150819,19627,1128242CL2R0156661577860220,a42CL6R,beta_engine,1017737160
2112,78412,7282,4062742CL4R0156661577860220,a42CL2R,beta_engine,1013161740
2113,227598,7193,2628542CL6R0156661577860220,a42CL4R,beta_engine,993125040
2114,344226,42116,3209542CL5R0156661577860220,a42CL4R,beta_engine,991097700
2115,52128,37086,5089142CL4R0156661577860220,a42CL3R,beta_engine,967524480
2116,203536,11602,3620642CL8R0156661577860220,a42CL6R,beta_engine,1008132360
2117,108984,14676,5283642CL7R0156661577860220,a42CL7R,beta_engine,1014446820
2118,323003,30414,550442CL7R0156661577860220,a42CL7R,beta_engine,1002332820
2119,180051,9264,2123242CL7R0156661577860220,a42CL9R,beta_engine,1039312620
2120,154763,11742,5544542CL4R0156661577860220,a42CL6R,beta_engine,1025091180
2121,97185,4817,4587042CL4R0156661577860220,a42CL4R,beta_engine,998163240
2122,65183,16138,2062742CL6R0156661577860220,a42CL8R,beta_engine,1023456360
2123,86091,56013,218142CL6R0156661577860220,a42CL2R,beta_engine,982690860
2124,124660,46091,1740042CL7R0156661577860220,a42CL7R,beta_engine,1002686460
2125,106423,25144,552242CL4R0156661577860220,a42CL3R,beta_engine,1006087740
2126,305014,7296,674442CL1R0156661577860220,a42CL4R,beta_engine,1024561500
2127,31813,12644,5571342CL3R0156661577860220,a42CL6R,beta_engine,1005388140
2128,144522,31468,882342CL6R0156661577860220,a42CL7R,beta_engine,1011052260
2129,74200,11063,5137242CL1R0156661577860220,a42CL5R,beta_engine,1013808720
2130,116609,25600,5029842CL3R0156661577860220,a42CL8R,beta_engine,1004378820
2131,218495,16244,1122742CL8R0156661577860220,a42CL1R,beta_engine,1013629740
2132,187997,4569,3739242CL4R0156661577860220,a42CL6R,beta_engine,1017793860
2133,136646,7994,5670142CL7R0156661577860220,a42CL7R,beta_engine,1006832340
2134,69647,20787,4805042CL7R0156661577860220,a42CL5R,beta_engine,1013809800
2135,95514,15698,6113442CL1R0156661577860220,a42CL9R,beta_engine,1004348640
2136,99528,11263,4832342CL7R0156661577860220,a42CL9R,beta_engine,1017170220
2137,258904,36893,453842CL6R0156661577860220,a42CL2R,beta_engine,1016693700
2138,153501,7796,6051542CL6R0156661577860220,a42CL2R,beta_engine,1000023420
2139,109834,17933,3533242CL6R0156661577860220,a42CL2R,beta_engine,1029222000
2140,212790,11210,6280542CL4R0156661577860220,a42CL9R,beta_engine,1005544500
2141,187703,3738,1195842CL9R0156661577860220,a42CL8R,beta_engine,984193200
2142,144366,4464,5711342CL7R0156661577860220,a42CL6R,beta_engine,1010936040
2143,186627,2097,6394142CL4R0156661577860220,a42CL2R,beta_engine,986227500
2144,108154,6316,3809142CL4R0156661577860220,a42CL7R,beta_engine,1006420440
2145,48492,21629,524142CL8R0156661577860220,a42CL6R,beta_engine,994047900
2146,199979,5627,845842CL8R0156661577860220,a42CL9R,beta_engine,1023795000
2147,170763,30267,1739742CL9R0156661577860220,a42CL9R,beta_engine,984407580
2148,258578,4150,1338642CL1R0156661577860220,a42CL1R,beta_engine,982602300
2149,34869,1005,4414142CL7R0156661577860220,a42CL7R,beta_engine,1029047940
2150,49579,18459,5841042CL5R0156661577860220,a42CL3R,beta_engine,1041002880
2151,48732,8881,1251342CL2R0156661577860220,a42CL5R,beta_engine,1009773600
2152,291063,5464,4068042CL9R0156661577860220,a42CL1R,beta_engine,990686280
2153,188566,36958,4552242CL4R0156661577860220,a42CL8R,beta_engine,1015211700
2154,127118,28862,5245742CL2R0156661577860220,a42CL8R,beta_engine,1017540780
2155,49691,13074,495242CL2R0156661577860220,a42CL9R,beta_engine,1032369360
2156,50626,15705,1150542CL1R0156661577860220,a42CL1R,beta_engine,1012708380
2157,172551,22390,602342CL3R0156661577860220,a42CL3R,beta_engine,1029565260
2158,74599,45357,6074142CL2R0156661577860220,a42CL7R,beta_engine,1040683500
2159,206759,14874,5077842CL6R0156661577860220,a42CL6R,beta_engine,1003706880
2160,70253,24643,235342CL5R0156661577860220,a42CL2R,beta_engine,1001079780
2161,233660,6617,1862742CL8R0156661577860220,a42CL9R,beta_engine,994217340
2162,163559,11950,2672042CL9R0156661577860220,a42CL2R,beta_engine,980636940
2163,44007,8870,3001742CL1R0156661577860220,a42CL9R,beta_engine,1034879280
2164,65501,9130,3407642CL3R0156661577860220,a42CL7R,beta_engine,990561360
2165,254261,7667,6534642CL2R0156661577860220,a42CL3R,beta_engine,1015716060
2166,525175,59385,209742CL6R0156661577860220,a42CL2R,beta_engine,998185560
2167,446979,30900,2400642CL7R0156661577860220,a42CL5R,beta_engine,1018152780
2168,152107,11098,5999542CL7R0156661577860220,a42CL5R,beta_engine,992673900
2169,460071,14518,3462542CL6R0156661577860220,a42CL8R,beta_engine,1025166180
2170,68676,22549,4991942CL3R0156661577860220,a42CL9R,beta_engine,1004414280
2171,265108,2550,2951242CL6R0156661577860220,a42CL9R,beta_engine,1011927000
2172,78212,14927,6228242CL1R0156661577860220,a42CL1R,beta_engine,1010316000
2173,99834,33760,158642CL2R0156661577860220,a42CL3R,beta_engine,1029110460
2174,36939,3161,4174042CL7R0156661577860220,a42CL6R,beta_engine,1019197080
2175,206921,7869,6118642CL5R0156661577860220,a42CL7R,beta_engine,993681420
2176,156258,42180,5325342CL9R0156661577860220,a42CL7R,beta_engine,1005918420
2177,38240,20601,1354242CL4R0156661577860220,a42CL6R,beta_engine,1021710840
2178,56059,25521,1743842CL9R0156661577860220,a42CL4R,beta_engine,1001644560
2179,247642,33490,5885042CL9R0156661577860220,a42CL8R,beta_engine,1064178780
2180,32512,10364,5894542CL5R0156661577860220,a42CL7R,beta_engine,983821920
2181,55204,24879,240242CL5R0156661577860220,a42CL2R,beta_engine,1007528220
2182,98612,20893,5621342CL8R0156661577860220,a42CL3R,beta_engine,1027478520
2183,184809,8553,3288642CL8R0156661577860220,a42CL2R,beta_engine,1023404700
2184,244955,12821,702342CL4R0156661577860220,a42CL7R,beta_engine,1021903680
2185,119656,2424,2965542CL6R0156661577860220,a42CL7R,beta_engine,995728680
2186,166464,5835,5150742CL5R0156661577860220,a42CL7R,beta_engine,1022685540
2187,405489,8572,5301442CL4R0156661577860220,a42CL1R,beta_engine,989730720
2188,37761,11042,1160342CL3R0156661577860220,a42CL9R,beta_engine,1021175340
2189,179344,20794,5892442CL2R0156661577860220,a42CL6R,beta_engine,1017080040
2190,31619,38503,2740542CL4R0156661577860220,a42CL7R,beta_engine,986210460
2191,200864,11356,5410342CL6R0156661577860220,a42CL7R,beta_engine,1021561380
2192,114250,3338,3458742CL4R0156661577860220,a42CL4R,beta_engine,1012961640
2193,176386,3006,5606042CL1R0156661577860220,a42CL3R,beta_engine,1008465180
2194,63377,35025,290142CL8R0156661577860220,a42CL7R,beta_engine,1014215880
2195,116363,11307,5273142CL4R0156661577860220,a42CL5R,beta_engine,1022081700
2196,284885,4641,3643442CL5R0156661577860220,a42CL5R,beta_engine,1010606880
2197,132707,10986,275842CL2R0156661577860220,a42CL2R,beta_engine,1005268080
2198,161857,17457,2282042CL4R0156661577860220,a42CL6R,beta_engine,1013454000
2199,38925,4761,3170042CL6R0156661577860220,a42CL3R,beta_engine,999794400
2200,47016,32156,3829642CL4R0156661577860220,a42CL8R,beta_engine,989959140
2201,121312,34597,563042CL2R0156661577860220,a42CL1R,beta_engine,1015240440
2202,103202,27498,1786642CL6R0156661577860220,a42CL6R,beta_engine,998627700
2203,99717,11311,4969342CL7R0156661577860220,a42CL6R,beta_engine,993811800
2204,218097,27808,4101342CL9R0156661577860220,a42CL5R,beta_engine,1021699200
2205,234013,22327,4370642CL8R0156661577860220,a42CL6R,beta_engine,1008572040
2206,64160,1830,5949742CL2R0156661577860220,a42CL2R,beta_engine,999314940
2207,149503,24993,3251642CL4R0156661577860220,a42CL3R,beta_engine,1010143020
2208,59056,16764,3692242CL1R0156661577860220,a42CL1R,beta_engine,1011338520
2209,110595,24867,391142CL8R0156661577860220,a42CL3R,beta_engine,991289580
2210,113754,12903,6176942CL8R0156661577860220,a42CL7R,beta_engine,1025094480
2211,112895,9305,2562342CL5R0156661577860220,a42CL5R,beta_engine,983718960
2212,70047,22135,4714442CL2R0156661577860220,a42CL1R,beta_engine,996530760
2213,32493,16013,397342CL1R0156661577860220,a42CL8R,beta_engine,998940540
2214,154244,9724,4346042CL5R0156661577860220,a42CL8R,beta_engine,1001071560
2215,226506,12253,2813642CL5R0156661577860220,a42CL8R,beta_engine,1023207540
2216,186006,2490,5825942CL7R0156661577860220,a42CL6R,beta_engine,1024746600
2217,85796,33382,5247042CL5R0156661577860220,a42CL6R,beta_engine,1006526700
2218,116391,99999,80242CL4R0156661577860220,a42CL2R,beta_engine,1005794640
2219,112540,7893,4355242CL8R0156661577860220,a42CL2R,beta_engine,1005880260
2220,177459,10017,2577542CL2R0156661577860220,a42CL7R,beta_engine,1026081960
2221,49824,63324,6455842CL7R0156661577860220,a42CL2R,beta_engine,1012990380
2222,209193,13430,932042CL9R0156661577860220,a42CL1R,beta_engine,999603360
2223,299369,15391,6393042CL9R0156661577860220,a42CL4R,beta_engine,976875420
2224,155662,31039,2868042CL3R0156661577860220,a42CL5R,beta_engine,1013286540
2225,106723,13131,2406642CL2R0156661577860220,a42CL2R,beta_engine,1019206620
2226,58752,7836,5531942CL5R0156661577860220,a42CL5R,beta_engine,1023891360
2227,78085,10651,3350842CL2R0156661577860220,a42CL9R,beta_engine,1004805180
2228,147750,9016,821742CL1R0156661577860220,a42CL3R,beta_engine,1003881120
2229,151213,9165,3764442CL7R0156661577860220,a42CL7R,beta_engine,1013535540
2230,78444,225,583642CL8R0156661577860220,a42CL2R,beta_engine,1005671040
2231,339459,20462,1905442CL2R0156661577860220,a42CL2R,beta_engine,1011017940
2232,443810,21924,171342CL3R0156661577860220,a42CL1R,beta_engine,1034720580
2233,176931,12150,4355142CL2R0156661577860220,a42CL9R,beta_engine,987450300
2234,128797,16376,5895942CL5R0156661577860220,a42CL1R,beta_engine,1014424260
2235,218985,14680,5859842CL7R0156661577860220,a42CL9R,beta_engine,995327220
2236,330858,7416,3160242CL8R0156661577860220,a42CL2R,beta_engine,1013765220
2237,43548,7260,5347242CL5R0156661577860220,a42CL9R,beta_engine,994345560
2238,70388,48311,5389142CL3R0156661577860220,a42CL1R,beta_engine,986271420
2239,83796,5970,131542CL5R0156661577860220,a42CL8R,beta_engine,982516800
2240,114426,13865,6397242CL3R0156661577860220,a42CL1R,beta_engine,980451840
2241,20743,30097,4070542CL4R0156661577860220,a42CL6R,beta_engine,984359580
2242,25249,1948,1716542CL5R0156661577860220,a42CL4R,beta_engine,996223380
2243,127826,2746,430342CL4R0156661577860220,a42CL6R,beta_engine,1020457080
2244,182497,20757,2224742CL5R0156661577860220,a42CL6R,beta_engine,1027853160
2245,49669,3663,5746942CL3R0156661577860220,a42CL1R,beta_engine,983257620
2246,76211,22214,599442CL1R0156661577860220,a42CL9R,beta_engine,997701120
2247,313006,34691,4195542CL2R0156661577860220,a42CL8R,beta_engine,998187000
2248,58100,13380,574742CL6R0156661577860220,a42CL4R,beta_engine,1019549640
2249,86620,4150,385542CL4R0156661577860220,a42CL7R,beta_engine,1040518380
2250,133795,11624,3359542CL9R0156661577860220,a42CL9R,beta_engine,1009471320
2251,115875,7385,112742CL4R0156661577860220,a42CL8R,beta_engine,1012822620
2252,99124,8997,142642CL1R0156661577860220,a42CL6R,beta_engine,1003193460
2253,40660,27763,4312142CL4R0156661577860220,a42CL2R,beta_engine,1013794320
2254,265004,9354,4643442CL5R0156661577860220,a42CL3R,beta_engine,979719300
2255,141611,28538,2409742CL2R0156661577860220,a42CL4R,beta_engine,987151920
2256,102174,5977,209742CL8R0156661577860220,a42CL4R,beta_engine,1018220340
2257,37266,9539,4770142CL6R0156661577860220,a42CL6R,beta_engine,1002978720
2258,111278,14648,4521742CL3R0156661577860220,a42CL8R,beta_engine,1030783680
2259,181461,4610,1416942CL5R0156661577860220,a42CL7R,beta_engine,1008871440
2260,206364,33994,1657842CL1R0156661577860220,a42CL1R,beta_engine,1016621940
2261,102938,31189,2462242CL2R0156661577860220,a42CL7R,beta_engine,1021478520
2262,579984,5283,2919342CL1R0156661577860220,a42CL2R,beta_engine,1037980620
2263,103779,23914,5703342CL1R0156661577860220,a42CL4R,beta_engine,990121320
2264,70695,15602,6348942CL5R0156661577860220,a42CL3R,beta_engine,1005552960
2265,132913,11096,5209442CL8R0156661577860220,a42CL5R,beta_engine,998238060
2266,258447,43167,586742CL7R0156661577860220,a42CL9R,beta_engine,1019961840
2267,64546,26908,6174442CL4R0156661577860220,a42CL3R,beta_engine,1012523880
2268,191767,45264,4240242CL9R0156661577860220,a42CL2R,beta_engine,997187940
2269,395789,5966,1121542CL5R0156661577860220,a42CL3R,beta_engine,1042697040
2270,121116,34030,4119442CL4R0156661577860220,a42CL3R,beta_engine,997321140
2271,147031,5077,2631842CL2R0156661577860220,a42CL4R,beta_engine,999607920
2272,111018,6999,1298142CL5R0156661577860220,a42CL2R,beta_engine,1031136540
2273,199361,19034,1822042CL1R0156661577860220,a42CL1R,beta_engine,1002014100
2274,69133,16278,173242CL6R0156661577860220,a42CL8R,beta_engine,1016250660
2275,297147,26582,5644042CL7R0156661577860220,a42CL2R,beta_engine,1012328100
2276,268949,29107,4718142CL3R0156661577860220,a42CL6R,beta_engine,992986680
2277,110070,2105,553242CL6R0156661577860220,a42CL9R,beta_engine,1037119320
2278,55747,12490,3438842CL5R0156661577860220,a42CL7R,beta_engine,996186540
2279,25158,26961,1422342CL5R0156661577860220,a42CL2R,beta_engine,1045789620
2280,92976,15604,2849442CL3R0156661577860220,a42CL1R,beta_engine,996053280
2281,70185,15549,6516142CL9R0156661577860220,a42CL8R,beta_engine,1024456440
2282,198219,17779,946642CL6R0156661577860220,a42CL3R,beta_engine,982068720
2283,139634,21594,4674342CL4R0156661577860220,a42CL9R,beta_engine,1010709180
2284,191463,13721,2644842CL8R0156661577860220,a42CL2R,beta_engine,1013087940
2285,278141,15880,4641142CL8R0156661577860220,a42CL9R,beta_engine,1029301980
2286,506949,9461,6308342CL9R0156661577860220,a42CL3R,beta_engine,1008510000
2287,364942,29945,4521442CL7R0156661577860220,a42CL4R,beta_engine,1026427800
2288,319281,12406,4662642CL5R0156661577860220,a42CL2R,beta_engine,995727420
2289,52526,3386,6007342CL1R0156661577860220,a42CL5R,beta_engine,1011716040
2290,291521,19585,3130542CL1R0156661577860220,a42CL2R,beta_engine,985584240
2291,171516,13844,795042CL7R0156661577860220,a42CL2R,beta_engine,1016178780
2292,59769,12093,3182142CL3R0156661577860220,a42CL4R,beta_engine,1011537060
2293,394442,24058,5118642CL8R0156661577860220,a42CL7R,beta_engine,1054129560
2294,33476,2940,2554342CL6R0156661577860220,a42CL2R,beta_engine,1000454160
2295,175544,31888,6179742CL1R0156661577860220,a42CL5R,beta_engine,1015634940
2296,151231,8132,2267342CL3R0156661577860220,a42CL6R,beta_engine,1018722900
2297,94146,30565,3824942CL6R0156661577860220,a42CL5R,beta_engine,1010219100
2298,306588,29890,6550442CL1R0156661577860220,a42CL3R,beta_engine,1028353560
2299,31441,9067,1555842CL2R0156661577860220,a42CL1R,beta_engine,990875340
2300,118899,13593,3994442CL5R0156661577860220,a42CL4R,beta_engine,1005169500
2301,81890,5317,3489642CL8R0156661577860220,a42CL8R,beta_engine,986237280
2302,197418,45436,5747342CL9R0156661577860220,a42CL1R,beta_engine,993847740
2303,86367,19503,2090942CL9R0156661577860220,a42CL9R,beta_engine,1024056720
2304,337509,2065,4483042CL7R0156661577860220,a42CL5R,beta_engine,1006741560
2305,372665,19706,1761342CL2R0156661577860220,a42CL7R,beta_engine,1000701180
2306,193514,23565,3953242CL9R0156661577860220,a42CL3R,beta_engine,1017375180
2307,137608,7778,5207142CL3R0156661577860220,a42CL7R,beta_engine,1014279480
2308,85361,9939,5947642CL4R0156661577860220,a42CL6R,beta_engine,1012790880
2309,133118,19361,1607842CL2R0156661577860220,a42CL1R,beta_engine,997894140
2310,88224,61521,294542CL1R0156661577860220,a42CL9R,beta_engine,1019131260
2311,90726,13142,5767942CL6R0156661577860220,a42CL6R,beta_engine,998510040
2312,220593,4042,655142CL4R0156661577860220,a42CL1R,beta_engine,997198740
2313,254575,32545,2285742CL9R0156661577860220,a42CL2R,beta_engine,984127260
2314,97914,14854,3409842CL8R0156661577860220,a42CL2R,beta_engine,1021957920
2315,409039,16422,1409542CL4R0156661577860220,a42CL4R,beta_engine,1009060380
2316,600361,36943,5115142CL8R0156661577860220,a42CL8R,beta_engine,1003691340
2317,86129,5407,5440342CL6R0156661577860220,a42CL7R,beta_engine,1019227020
2318,178912,28064,91042CL6R0156661577860220,a42CL3R,beta_engine,1005968280
2319,142436,20876,3028742CL5R0156661577860220,a42CL8R,beta_engine,1005002520
2320,157576,17406,3665942CL7R0156661577860220,a42CL6R,beta_engine,993196860
2321,62336,14628,1644342CL9R0156661577860220,a42CL3R,beta_engine,1014013500
2322,81516,12036,787542CL3R0156661577860220,a42CL2R,beta_engine,974906760
2323,43475,12071,5475642CL7R0156661577860220,a42CL5R,beta_engine,1019961960
2324,320505,4692,2781442CL9R0156661577860220,a42CL9R,beta_engine,1018294020
2325,229747,18429,3953442CL8R0156661577860220,a42CL2R,beta_engine,983363100
2326,128007,12375,2198542CL3R0156661577860220,a42CL4R,beta_engine,1046008800
2327,103609,10238,109542CL8R0156661577860220,a42CL3R,beta_engine,999058080
2328,144396,21437,1088542CL1R0156661577860220,a42CL6R,beta_engine,997305480
2329,142599,6815,6092942CL4R0156661577860220,a42CL2R,beta_engine,982014900
2330,61960,15506,483242CL8R0156661577860220,a42CL6R,beta_engine,1028376360
2331,187074,17547,1695542CL9R0156661577860220,a42CL5R,beta_engine,1014681780
2332,179576,15751,62842CL4R0156661577860220,a42CL4R,beta_engine,1015576800
2333,43317,37098,1450142CL6R0156661577860220,a42CL9R,beta_engine,1012550220
2334,259612,20015,2193942CL9R0156661577860220,a42CL2R,beta_engine,1013198220
2335,79035,30798,1222342CL2R0156661577860220,a42CL8R,beta_engine,1012014000
2336,66635,14643,5294442CL8R0156661577860220,a42CL8R,beta_engine,990804180
2337,74687,2704,2500542CL6R0156661577860220,a42CL1R,beta_engine,986102640
2338,69993,32947,5072742CL9R0156661577860220,a42CL8R,beta_engine,1015587540
2339,123250,31321,1952742CL3R0156661577860220,a42CL8R,beta_engine,1006889640
2340,189439,56804,3242642CL5R0156661577860220,a42CL2R,beta_engine,979973520
2341,119635,48556,322542CL9R0156661577860220,a42CL5R,beta_engine,982797300
2342,173586,35319,4565942CL1R0156661577860220,a42CL6R,beta_engine,1003448400
2343,290718,7631,321942CL7R0156661577860220,a42CL5R,beta_engine,1009740480
